Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
HM802200.1,SFTS virus SD24,GenBank,set:0229990ee97e508bfe9e85f003a817d7069a4d7a,"Sun,Y.L., Liang,M.F., Zhang,Q.F., Li,J.D., Li,C., Lu,J., Qu,J., Wang,X.J., Bi,Z.Q., Li,D.X.","National Institute for Viral Diseases Control and Prevention, Department of Viral Hemorrhagic Fever",China,2011-03-09,,SFTS phlebovirus,6368,complete,China,,Homo sapiens,blood,2010
KC409247.1,Norovirus Hu/GII/20079/2009/VNM,GenBank,set:KC409247,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-07-23
OR113713.1,Orthohantavirus hantanense,GenBank,,"Prayitno,S.P., Natasha,A., Lee,S., Kim,C.M., Lee,Y.M., Park,K., Kim,J., Kim,S.G., Park,J., Rajoriya,S., Palacios,G., Oh,Y., Song,J.W., Kim,D.M., Kim,W.K., Kim,W.-K.","Hallym University, Microbiology",South Korea,2024-05-29,,Orthohantavirus hantanense,6490,complete,South Korea,,Homo sapiens,blood,2020-01
OM735624.1,Rubella virus genotype 1C,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9762,complete,Panama,,Homo sapiens,,1999
ON729338.1,rhinovirus A59,GenBank,,"Sereewit,J., Xie,H., Greninger,A.","UW Virology, Laboratory Medicine",,2022-07-20,,Rhinovirus A,7079,complete,USA,,Homo sapiens,,2017
KR733236.1,Influenza B virus (B/Taiwan/00675/2012),GenBank,set:e906ec9cd2f1f8194bc82af37a18cf470b9ce4b5,"Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.","Chang Gung University, Research Center of Viral Infections",Taiwan,2016-01-01,,Betainfluenzavirus influenzae,1557,complete,"Taiwan: Clinical Virology Laboratory, Linkou Chang Gung Memorial Hospital",,Homo sapiens,,2012-02-18
MF588724.1,Gammapapillomavirus 15,GenBank,set:MF588724,"Pastrana,D.V., Peretti,A., Welch,N.L., Borgogna,C., Olivero,C., Badolato,R., Notarangelo,L.D., Gariglio,M., FitzGerald,P.C., McIntosh,C.E., Reeves,J., Starrett,G.J., Bliskovsky,V., Velez,D., Brownell,I., Yarchoan,R., Wyvill,K.M., Uldrick,T.S., Maldarelli,F., Lisco,A., Sereti,I., Gonzalez,C.M., Androphy,E.J., McBride,A.A., Van Doorslaer,K., Garcia,F., Dvoretzky,I., Liu,J.S., Han,J., Murphy,P.M., McDermott,D.H., Buck,C.B., McBride,A., Cho,E., Holland,S.M., Freeman,A.F.","National Cancer Institute, Laboratory of Cellular Oncology",USA,2017-11-08,Gamma15_EV03c104,Gammapapillomavirus 15,7272,complete,Italy,,Homo sapiens,skin,2014-05
JX559622.1,Circo-like virus-Brazil hs2,GenBank,set:JX559622,"Castrignano,S.B., Nagasse-Sugahara,T.K., Kisielius,J.J., Ueda-Ito,M., Brandao,P.E., Curti,S.P.","Instituto Adolfo Lutz, Center of Virology",Brazil,2013-09-30,,Circo-like virus-Brazil,2533,complete,Brazil,,Homo sapiens,feces,2003
AJ549087.1,Rotavirus C,GenBank,set:7f424d0bd9dc91de9c3130830bf471a80ddd89cb,"Gutierrez,M.F., Riano,M., Matiz,A., Jiang,B.","Jiang B., Viral Gastroenteritis Section, Centers for Disease Control & Prevention, G04, Georgia 30333",USA,2003-12-03,,Rotavirus C,1063,complete,Colombia:Bogota,,Homo sapiens,feces,
NC_076233.1,Torque teno mini virus 10,RefSeq,GCF_018583595.1,"Eibach,D., Hogan,B., Sarpong,N., Winter,D., Struck,N.S., Adu-Sarkodie,Y., Owusu-Dabo,E., Schmidt-Chanasit,J., May,J., Cadar,D.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Betatorquevirus homini10,2892,complete,Ghana,,Homo sapiens,cerebrospinal fluid,2014
LC209452.1,Norovirus Hu/GII/JP/2011/GII.P16_GII.2/Osaka-038,GenBank,set:LC209452,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7521,complete,Japan: Osaka,,Homo sapiens,feces,2011
GQ421200.1,Influenza A virus (A/Ancona/02/2009(H1N1)),GenBank,set:062115b3ef1cb989f4641abba3adf9f4829a7cc7,"Bagnarelli,P., Trotta,D., Marinelli,K., Ferreri,M.L.","Universita Politecnica delle Marche, Laboratorio di Virologia, Dip. Scienze Biomediche",Italy,2009-07-29,,Alphainfluenzavirus influenzae,1701,complete,Italy,,Homo sapiens,,2009-06-11
PV052973.1,Human respirovirus 3,GenBank,,"Greenleaf,M., Lam,W., Sullivan,J., Jules,E., Piantadosi,A.","Emory University, Pathology and Laboratory Medicine",USA,2025-02-10,EHC_C19_7227M,Respirovirus pneumoniae,15432,complete,USA: Georgia,GA,Homo sapiens,oronasopharynx,2023-06-01
NC_075724.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,RefSeq,GCF_008792745.1,"Tatsumi,M., Nakanishi,K., Tsutsumi,H.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Sapporo virus,7433,complete,Japan,,Homo sapiens,feces,1982
KM885036.1,Influenza A virus (A/Itarsi/2934/2013(H1N1)),GenBank,set:33448a8238ebe0651b0041d823758fbaf6645b01,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2013-05-15
NC_014953.1,Human papillomavirus type 129,RefSeq,GCF_000891495.1,"Kohler,A., Gottschling,M., Manning,K., Lehmann,M.D., Schulz,E., Kruger-Corcoran,D., Stockfleth,E., Nindl,I., Koehler,A., Bravo,I.G.","National Center for Biotechnology Information, NIH",USA,2011-01-24,,Gammapapillomavirus 9,7219,complete,Germany,,Homo sapiens,lesion_tumor,
KM272334.1,Norovirus Hu/GII.4/gg-12-08-04/2012/KR,GenBank,set:KM272334,"Park,J.S., Lee,S.G., Jin,J.Y., Cho,H.G., Jheong,W.H., Paik,S.Y., Kim,J.E.","Catholic University of Korea, Biomedical Science",South Korea,2014-11-08,,Norwalk virus,7558,complete,South Korea,,Homo sapiens,feces,2012-08-04
KP861941.1,Influenza B virus (B/Tehran/85467/2014),GenBank,set:a13ff3981a3811264271382f8a0aa7f849c34a67,"Mokhtari-Azad,T., Rezaei,F., Ghavami,N., Naseri,M., Barghi,H.","School of Public Health, Tehran University of Medical Sciences, Virology Department",Iran,2015-03-28,,Betainfluenzavirus influenzae,1755,complete,Iran,,Homo sapiens,,2014-11
OL638453.1,rhinovirus C31,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2022-01-04,SEA4HH,Rhinovirus C,6989,complete,USA,,Homo sapiens,,2021-06-18
NC_019026.1,Astrovirus VA3,RefSeq,GCF_000901475.1,"Jiang,H., Holtz,L.R., Bauer,I., Franz,C.J., Zhao,G., Bodhidatta,L., Shrestha,S.K., Kang,G., Wang,D.","National Center for Biotechnology Information, NIH",USA,2012-10-31,VA3/human/Vellore/28054/2005,Astrovirus VA3,6581,complete,India,,Homo sapiens,feces,2005
KT372348.1,Human papillomavirus 199,GenBank,set:KT372348,"Ostrbenk,A., Kocjan,B.J., Hosnjak,L., Li,J., Deng,Q., Sterbenc,A., Poljak,M.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana",Slovenia,2015-09-29,A484-SLO,Gammapapillomavirus 12,7184,complete,Slovenia,,Homo sapiens,feces,2012-11-28
KC175392.1,Norovirus Hu/Norwalk/20019/2009/VNM,GenBank,set:KC175392,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-05-19
KC175345.1,Norovirus Hu/Norwalk/10062/2009/VNM,GenBank,set:KC175345,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-05-29
KJ942784.1,Influenza A virus (A/reassortant/NYMC X-223A(A/Puerto Rico/8/1934 x A/Texas/50/2012)(H3N2)),GenBank,set:d23a1b71769fa2ab3249d4e548e2d7e62523b41b,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kumar,M., Bucher,D.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1751,complete,,,Homo sapiens,,
OZ258714.1,Hetorquevirus hominid6,GenBank,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,2025-05-17,,Hetorquevirus hominid6,2895,complete,Thailand,,Homo sapiens,,
KU762414.1,Influenza A virus (A/Gainesville/03/2016(H1N1)),GenBank,set:8688a1f2d45b262dfaecc1b724b9ca9b3a8a17ef,"Lednicky,J.A., Rand,K.H., Morris,J.G., Iovine,N.M., Loeb,J.C.","University of Florida - Gainesville, Environmental and Global Health",USA,2016-03-16,,Alphainfluenzavirus influenzae,1701,complete,USA,,Homo sapiens,oronasopharynx,2016-01-31
KY435827.1,Influenza A virus (A/Israel/B6105/2016(H3N2)),GenBank,set:e3bee9d00474c97218016f978431858b42b63473,"Freedman,A.G., Drori,Y., Friedman,N., Pando,R., Sefty,H., Beni,S., Rahav,G., Keller,N., Shohat,T., Mendelson,E., Hindiyeh,M., Mandelboim,M.","Central Virology Laboratory, Israel National Influenza Center",Israel,2017-01-16,,Alphainfluenzavirus influenzae,1701,complete,Israel,,Homo sapiens,,2016-12-04
KC175389.1,Norovirus Hu/Norwalk/20010/2009/VNM,GenBank,set:KC175389,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-05-11
KF849794.1,Influenza A virus (A/Thailand/SirirajICRC_NMA_10/2011(H1N1)),GenBank,set:1b21dbbb920630beca4eab09c423b0ce50a30307,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1701,complete,Thailand,,Homo sapiens,oronasopharynx,2011-06-03
NC_038358.1,Torque teno midi virus 11,RefSeq,GCF_002818705.1,"Ninomiya,M., Takahashi,M., Shimosegawa,T., Okamoto,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24,MDJN47,Gammatorquevirus homidi11,3198,complete,Japan,,Homo sapiens,blood,
PQ628106.1,Rhinovirus C41,GenBank,,"Ksenafontov,A.D., Fadeev,A.V., Geshko,S.A., Korzhanova,M.M., Musaeva,T.D., Eder,V.A., Pisareva,M.M., Danilenko,D.M., Lioznov,D.A., Komissarov,A.B.","Smorodintsev Research Institute of Influenza, Department of Etiology and Epidemiology",Russia,2025-01-20,RV-C41/Russia/SPE-RII-4320/2019,Rhinovirus C,7070,complete,Russia: Saint Petersburg,,Homo sapiens,oronasopharynx,2019-08-16
JN588774.1,Influenza A virus (A/Cambodia/T028/2009(H1N1)),GenBank,set:dd22ddc45730c041dc7dcd42a6c05583987ad1ed,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-06-22
EF467817.1,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),GenBank,GCA_037915385.1,"de Wit,E., Spronken,M.I., Bestebroer,T.M., Rimmelzwaan,G.F., Osterhaus,A.D., Fouchier,R.A., Fouchier,R.A.M., Spronken,M.I.J., Osterhaus,A.D.M.E.","Erasmus MC, Dept. Virology",Netherlands,2007-03-11,,Alphainfluenzavirus influenzae,890,complete,Puerto Rico,PR,Homo sapiens,,1934
LC209474.1,Norovirus Hu/GII/JP/2010/GII.P2_GII.2/Hiroshima-17,GenBank,set:LC209474,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7521,complete,Japan: Hiroshima,,Homo sapiens,feces,2010
KR733235.1,Influenza B virus (B/Taiwan/00335/2012),GenBank,set:bdb591fc947b70fa02c8786dda0eacb3f8396c9b,"Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.","Chang Gung University, Research Center of Viral Infections",Taiwan,2016-01-01,,Betainfluenzavirus influenzae,1557,complete,"Taiwan: Clinical Virology Laboratory, Linkou Chang Gung Memorial Hospital",,Homo sapiens,,2012-01-19
MK062179.1,SARS coronavirus Urbani,GenBank,set:MK062179,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.","University of North Carolina at Chapel Hill, Epidemiology",USA,2018-11-21,icSARS,Severe acute respiratory syndrome-related coronavirus,29727,complete,USA,,Homo sapiens,,2017-05-27
KP298674.1,Sapovirus Hu/GI.1/Seoul/ROK62/2013/KOR,GenBank,set:KP298674,"Choi,H.L., Suh,C.I., Park,S.W., Jin,J.Y., Cho,H.G., Paik,S.Y., Paik,S.-Y., Suh,C.-I.","College of Medicine, The Catholic University of Korea, Department of Biomedical Sciences",Korea,2015-06-02,,Sapporo virus,7429,complete,South Korea,,Homo sapiens,feces,2013-12-23
KC409243.1,Norovirus Hu/GII/10411/2010/VNM,GenBank,set:KC409243,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7509,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2010-04-19
NC_012802.1,Cosavirus D,RefSeq,GCF_000886475.1,"Kapoor,A., Victoria,J., Simmonds,P., Slikas,E., Chieochansin,T., Naeem,A., Shaukat,S., Sharif,S., Alam,M.M., Angez,M., Wang,C., Shafer,R.W., Zaidi,S., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2009-06-11,5004,Cosavirus D,7215,complete,Pakistan,,Homo sapiens,feces,
MH785183.2,Coxsackievirus A20,GenBank,set:MH785183,"Faleye,T.O.C., Adewumi,M.O., Olayinka,O.T., Adeniji,J.A.","Ekiti State University, Department of Microbiology, Faculty of Science",Nigeria,2018-12-26,,Enterovirus C,7091,complete,Nigeria,,Homo sapiens,feces,2016
MN306025.1,rhinovirus B83,GenBank,set:MN306025,"Lin,M.J., Tait,A., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2019-08-25,,Rhinovirus B,7077,complete,USA,,Homo sapiens,,2019
KU182898.1,Ebola virus,GenBank,set:KU182898,"Das,S.R., Shabman,R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Brasel,T., Yun,N., Paessler,S., Dowling,W., Barrett,A.",J. Craig Venter Institute,USA,2015-12-22,Ebola virus/H. sapiens-tc/COD/1995/Kikwit-9510623,Orthoebolavirus zairense,18959,complete,Zaire,,Homo sapiens,,1995-05-04
MF461639.1,Rocio virus,GenBank,set:MF461639,"Setoh,Y.X., Amarilla,A.A., Peng,N.Y., Slonchak,A., Periasamy,P., Figueiredo,L.T.M., Aquino,V.H., Khromykh,A.A., Figueiredo,L.T.","The University of Queensland, Australian Infectious Diseases Research Centre, School of Chemistry and Molecular Biosciences",Australia,2017-10-04,,Orthoflavivirus ilheusense,10794,complete,Brazil,,Homo sapiens,,1975
KF886360.1,Influenza A virus (A/Ontario/015/2013(H3N2)),GenBank,set:76c11b13b5d0505ceb9eb1c23649a24212672bb2,"Skowronski,D.M., Janjua,N.Z., De Serres,G., Sabaiduc,S., Eshaghi,A., Dickinson,J.A., Fonseca,K., Winter,A.L., Gubbay,J.B., Krajden,M., Petric,M., Charest,H., Bastien,N., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Li,Y., Winter,A.-L., Gubbay,J.","Public Health Ontario, Molecular Diagnostics",Canada,2013-12-14,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,oronasopharynx,2013-01-10
KF886370.1,Influenza A virus (A/Ontario/029/2013(H1N1)),GenBank,set:e71f00ed5a65aa34efca410a982a5e0d8cdca074,"Skowronski,D.M., Janjua,N.Z., De Serres,G., Sabaiduc,S., Eshaghi,A., Dickinson,J.A., Fonseca,K., Winter,A.L., Gubbay,J.B., Krajden,M., Petric,M., Charest,H., Bastien,N., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Li,Y., Winter,A.-L., Gubbay,J.","Public Health Ontario, Molecular Diagnostics",Canada,2013-12-14,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-31
KF039729.1,Norovirus Hu/GI.1/CHA6A007/2010/USA,GenBank,set:KF039729,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kim,M., Bok,K., Sosnovtsev,S.V., Wentworth,D.E., Green,K.Y.",J. Craig Venter Institute,USA,2013-05-27,,Norwalk virus,7600,complete,USA: Maryland,MD,Homo sapiens,,2010-04-18
OQ116582.1,rhinovirus A56,GenBank,,"Mayday,M.Y., Pearce,E.M., Simon,M.R., Zinter,M.S., Reyes,G., DeRisi,J.L.","UCSF, Pediatrics",USA,2023-06-10,,Rhinovirus A,7122,complete,USA,,Homo sapiens,lung,2019
LC380411.1,Sapovirus Hu/GI.6/Nichinan/FP05284/2005/JPN,GenBank,set:LC380411,"Iwakiri,A., Ganmyo,H., Yamamoto,S., Otao,K., Mikasa,M., Kizoe,S., Katayama,K., Wakita,T., Takeda,N., Oka,T., Doan,Y.H., Haga,K.","Virology II; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2018-04-18,,Sapporo virus,7443,complete,"Japan:Miyazaki, Nichinan",,Homo sapiens,,2005-05
JN408064.1,Lake Victoria marburgvirus - Leiden,GenBank,set:JN408064,"van Paassen,J., Bauer,M.P., Arbous,M.S., Visser,L.G., Schmidt-Chanasit,J., Schilling,S., Olschlager,S., Rieger,T., Emmerich,P., Schmetz,C., van de Berkmortel,F., van Hoek,B., van Burgel,N.D., Osterhaus,A.D., Vossen,A.C., Gunther,S., van Dissel,J.T.","Bernhard Nocht Institute for Tropical Medicine, Department of Virology",Germany,2011-12-19,,Orthomarburgvirus marburgense,19113,complete,Netherlands,,Homo sapiens,blood,2008
KF039737.1,Norovirus Hu/GI.1/CHA6A003_20091104/2009/USA,GenBank,set:KF039737,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kim,M., Bok,K., Sosnovtsev,S.V., Wentworth,D.E., Green,K.Y.",J. Craig Venter Institute,USA,2013-05-27,,Norwalk virus,7600,complete,USA: Maryland,MD,Homo sapiens,,2009-11-04
JF460834.1,Rotavirus A Hu/BEL/F01498/2009/G3P[6],GenBank,set:424e5dd6a66eda60b9cf605829b79a1244f79c02,"Heylen,E., Zeller,M., Ciarlet,M., De Coster,S., Van Ranst,M., Matthijnssens,J.","Laboratory of Clinical Virology, Rega Institute for Medical Research, Department of Microbiology and Immunology",Belgium,2012-02-28,,Rotavirus A,3302,complete,Belgium,,Homo sapiens,feces,2009-03-14
KF551087.1,Influenza A virus (A/Ontario/011/2012(H1N1)),GenBank,set:fbd0082401b83580b2f97a2c4d3c39302a6541ba,"Skowronski,D.M., Janjua,N.Z., Sabaiduc,S., De Serres,G., Winter,A.L., Gubbay,J.B., Dickinson,J.A., Fonseca,K., Charest,H., Bastien,N., Li,Y., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Krajden,M., Petric,M., Eshaghi,A., Rosenfeld,P., Li,A., Olsha,R.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2013-09-21,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,oronasopharynx,2012-02-28
KC409239.1,Norovirus Hu/GII/10127/2009/VNM,GenBank,set:KC409239,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-07-17
KC020366.1,Influenza A virus (A/Cambodia/V0902314/2011(H1N1)),GenBank,set:72ce2491a9df0360da496d1bb5803095a9b21643,"Buchy,P.","Instiutut Pasteur in Cambodia, Virology",Cambodia,2013-05-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Siem Reab,,Homo sapiens,,2011-08-24
AB625342.1,hepatitis B virus genotype G,GenBank,set:AB625342,"Panduro,A., Roman,S., Tanaka,Y., Khan,A., Aguilar-Gutierrez,Y., Maldonado,M., Kato,H., Misokami,M.","Molecular Biology in Medicine, Civil Hospital of Guadalajara; Hospital 278, Co.l El Retiro, Guadalajara, Jalisco 44280",Mexico,2012-03-31,MEX918M,Hepatitis B virus,3248,complete,Mexico,,Homo sapiens,blood,
OP712069.1,human papillomavirus 82,GenBank,,"Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.","Universite Paris Cite, Inserm UMR1137",France,2023-11-24,V523E09_HPV82,Alphapapillomavirus 5,7874,complete,Togo,,Homo sapiens,,2017-08
AB933685.1,Norovirus Hu/GII.4/Ehime3/2010/JP,GenBank,set:AB933685,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Ehime,,Homo sapiens,feces,2010
JF965350.1,Influenza B virus (B/Kol/N-2000/2009),GenBank,set:700cec8ee52b8ec8b3f2c192b59152a855ef75fb,"Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (NICED), Virology",India,2011-10-10,,Betainfluenzavirus influenzae,1758,complete,India,,Homo sapiens,,2009-11-14
JQ622197.1,Norovirus Hu/GII-4/CBNU2/2007/KR,GenBank,set:JQ622197,"Lee,G.C., Jung,G.S., Lee,C.H.","Chungbuk National University, Department of Microbiology",South Korea,2012-05-14,Hu/GII-4/CBNU2/KR/2007,Norwalk virus,7583,complete,South Korea,,Homo sapiens,,2007-02-20
KF886377.1,Influenza A virus (A/Ontario/012/2013(H1N1)),GenBank,set:28c36d65e11c6510c1b4525b12c3a141f76319a2,"Skowronski,D.M., Janjua,N.Z., De Serres,G., Sabaiduc,S., Eshaghi,A., Dickinson,J.A., Fonseca,K., Winter,A.L., Gubbay,J.B., Krajden,M., Petric,M., Charest,H., Bastien,N., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Li,Y., Winter,A.-L., Gubbay,J.","Public Health Ontario, Molecular Diagnostics",Canada,2013-12-14,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-15
OR148956.1,Redondovirus D_HF1_1,GenBank,,"Paietta,E.N., Kraberger,S., Custer,J.M., Vargas,K.L., Epsy,C., Ehmke,E., Yoder,A.D., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-08-27,D_HF1_1,Redondovirus D_HF1_1,3055,complete,"USA: Durham, NC",NC,Homo sapiens,,2021-08-30
